TimeStamp,Open,High,Low,Close,Volume,DataTime
1585008000000,6463.21,6840.00,6369.00,6741.33,437968.553,2020-03-24 08:00:00
1585094400000,6740.86,6960.71,6436.26,6673.41,400684.542,2020-03-25 08:00:00
1585180800000,6673.57,6777.50,6500.00,6733.76,281245.628,2020-03-26 08:00:00
1585267200000,6733.76,6840.00,6230.00,6353.64,258213.519,2020-03-27 08:00:00
1585353600000,6353.64,6354.74,6004.00,6230.95,341944.185,2020-03-28 08:00:00
1585440000000,6231.81,6260.00,5857.60,5876.27,251335.919,2020-03-29 08:00:00
1585526400000,5876.27,6606.15,5850.00,6391.08,387321.998,2020-03-30 08:00:00
1585612800000,6389.52,6516.63,6320.00,6407.10,262522.644,2020-03-31 08:00:00
1585699200000,6407.10,6693.00,6140.00,6641.51,390529.602,2020-04-01 08:00:00
1585785600000,6641.22,7290.00,6542.73,6791.63,531321.428,2020-04-02 08:00:00
1585872000000,6791.65,7049.11,6600.00,6729.80,411944.927,2020-04-03 08:00:00
1585958400000,6729.80,7020.00,6629.99,6851.10,319849.757,2020-04-04 08:00:00
1586044800000,6851.40,6893.44,6668.02,6768.90,239224.508,2020-04-05 08:00:00
1586131200000,6768.90,7370.00,6760.00,7325.73,461331.013,2020-04-06 08:00:00
1586217600000,7325.73,7457.00,7070.43,7192.90,419572.040,2020-04-07 08:00:00
1586304000000,7192.90,7417.83,7145.14,7357.66,332599.575,2020-04-08 08:00:00
1586390400000,7357.15,7365.69,7105.98,7278.65,293638.581,2020-04-09 08:00:00
1586476800000,7278.83,7290.00,6741.00,6857.82,440148.453,2020-04-10 08:00:00
1586563200000,6858.00,6944.28,6757.29,6874.18,224157.844,2020-04-11 08:00:00
1586649600000,6874.17,7173.98,6775.66,6900.52,321594.822,2020-04-12 08:00:00
1586736000000,6900.19,6900.99,6558.00,6834.00,421954.773,2020-04-13 08:00:00
1586822400000,6834.01,6975.60,6751.00,6864.11,280445.427,2020-04-14 08:00:00
1586908800000,6864.11,6929.00,6602.59,6616.89,281136.689,2020-04-15 08:00:00
1586995200000,6616.88,7190.92,6465.33,7098.15,559868.603,2020-04-16 08:00:00
1587081600000,7098.15,7140.00,6981.00,7022.44,277339.601,2020-04-17 08:00:00
1587168000000,7022.00,7290.00,7008.11,7242.42,225807.171,2020-04-18 08:00:00
1587254400000,7242.49,7258.42,7055.00,7118.03,216975.114,2020-04-19 08:00:00
1587340800000,7118.04,7208.55,6735.95,6825.29,445104.981,2020-04-20 08:00:00
1587427200000,6825.28,6940.00,6759.16,6838.00,288024.528,2020-04-21 08:00:00
1587513600000,6838.00,7154.90,6812.57,7120.06,306482.163,2020-04-22 08:00:00
1587600000000,7120.06,7802.38,7020.00,7483.35,472510.047,2020-04-23 08:00:00
1587686400000,7483.36,7612.91,7388.00,7504.11,278378.368,2020-04-24 08:00:00
1587772800000,7504.62,7722.33,7433.00,7534.01,243266.807,2020-04-25 08:00:00
1587859200000,7534.01,7709.57,7476.86,7694.17,269921.936,2020-04-26 08:00:00
1587945600000,7693.63,7795.60,7623.98,7774.00,290336.169,2020-04-27 08:00:00
1588032000000,7774.00,7780.00,7662.49,7735.75,217652.761,2020-04-28 08:00:00
1588118400000,7735.76,8988.66,7710.00,8784.20,871197.569,2020-04-29 08:00:00
1588204800000,8784.05,9479.77,8400.00,8624.76,944211.711,2020-04-30 08:00:00
1588291200000,8623.61,9065.00,8619.84,8830.52,417820.386,2020-05-01 08:00:00
1588377600000,8830.52,9020.00,8755.01,8975.18,295769.728,2020-05-02 08:00:00
1588464000000,8975.18,9200.00,8727.24,8900.00,451322.713,2020-05-03 08:00:00
1588550400000,8899.99,8954.94,8526.00,8873.98,440135.307,2020-05-04 08:00:00
1588636800000,8873.99,9118.17,8766.12,9022.78,409920.130,2020-05-05 08:00:00
1588723200000,9022.76,9405.00,8916.01,9148.27,507753.800,2020-05-06 08:00:00
1588809600000,9148.29,10080.00,9022.00,9995.00,738920.219,2020-05-07 08:00:00
1588896000000,9994.74,10045.03,9726.00,9807.49,458034.211,2020-05-08 08:00:00
1588982400000,9809.63,9923.98,9528.23,9550.67,411941.957,2020-05-09 08:00:00
1589068800000,9550.25,9580.00,7940.00,8719.53,842909.031,2020-05-10 08:00:00
1589155200000,8723.23,9164.00,8151.12,8561.09,805164.964,2020-05-11 08:00:00
1589241600000,8560.73,8981.00,8520.43,8808.71,369716.041,2020-05-12 08:00:00
